epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,369.749,0.46865,0.40328,0.84462,0.88203,0.80941,0.85652,0.67827,0.79072,0.49624,0.93472,0.000200525,0.000200525,0.000200525
123,372.441,0.45898,0.38303,0.83967,0.91443,0.79236,0.85944,0.68662,0.77157,0.47852,0.9251,0.00019805,0.00019805,0.00019805
124,375.177,0.47496,0.39959,0.84942,0.91604,0.7973,0.85813,0.67819,0.77237,0.49863,0.92621,0.000195575,0.000195575,0.000195575
125,377.897,0.46167,0.38419,0.83586,0.89847,0.79943,0.85533,0.68112,0.77826,0.4972,0.93352,0.0001931,0.0001931,0.0001931
126,380.653,0.46416,0.38929,0.83969,0.91253,0.78736,0.8677,0.68583,0.76596,0.48706,0.92596,0.000190625,0.000190625,0.000190625
127,383.363,0.44932,0.38505,0.83551,0.88824,0.80333,0.86828,0.67652,0.78771,0.49291,0.9233,0.00018815,0.00018815,0.00018815
128,386.052,0.46123,0.38906,0.83835,0.8986,0.80265,0.86487,0.68151,0.79591,0.51728,0.92959,0.000185675,0.000185675,0.000185675
129,388.734,0.47272,0.38596,0.83997,0.8938,0.80038,0.85272,0.6725,0.80929,0.51318,0.93369,0.0001832,0.0001832,0.0001832
130,391.606,0.44981,0.36824,0.83606,0.9215,0.78003,0.84572,0.66902,0.79696,0.52046,0.93002,0.000180725,0.000180725,0.000180725
131,394.333,0.44383,0.37636,0.83476,0.90883,0.78034,0.85163,0.67463,0.80009,0.51556,0.94306,0.00017825,0.00017825,0.00017825
132,397.016,0.45345,0.37864,0.82556,0.92217,0.77513,0.85019,0.67061,0.78415,0.51263,0.94161,0.000175775,0.000175775,0.000175775
133,399.755,0.44175,0.37117,0.83681,0.90819,0.77738,0.86048,0.67903,0.77632,0.50434,0.93947,0.0001733,0.0001733,0.0001733
134,402.716,0.44925,0.37096,0.82982,0.88806,0.791,0.86538,0.68488,0.78204,0.4918,0.94538,0.000170825,0.000170825,0.000170825
135,406.622,0.46108,0.38005,0.83778,0.88137,0.79589,0.85387,0.67371,0.81182,0.48704,0.94155,0.00016835,0.00016835,0.00016835
136,410.845,0.44566,0.37283,0.83435,0.90399,0.79544,0.85224,0.67515,0.76908,0.48271,0.93154,0.000165875,0.000165875,0.000165875
137,413.648,0.44365,0.37002,0.84266,0.8946,0.80561,0.85249,0.67601,0.75776,0.4958,0.93105,0.0001634,0.0001634,0.0001634
138,416.501,0.43987,0.36682,0.83701,0.88613,0.79885,0.85406,0.67244,0.75958,0.50466,0.93115,0.000160925,0.000160925,0.000160925
139,419.276,0.43651,0.36757,0.8328,0.90462,0.78788,0.85488,0.6736,0.7607,0.49907,0.92651,0.00015845,0.00015845,0.00015845
140,422.078,0.42456,0.36434,0.8343,0.88626,0.79799,0.84638,0.66716,0.77114,0.49655,0.93072,0.000155975,0.000155975,0.000155975
141,424.836,0.42625,0.36565,0.82859,0.92168,0.76717,0.8364,0.66032,0.76113,0.50464,0.92945,0.0001535,0.0001535,0.0001535
142,427.611,0.42612,0.35679,0.83114,0.88159,0.79678,0.83693,0.66317,0.77293,0.51811,0.93569,0.000151025,0.000151025,0.000151025
143,430.366,0.43695,0.36359,0.83415,0.88742,0.81738,0.82437,0.64823,0.75749,0.50508,0.93457,0.00014855,0.00014855,0.00014855
144,433.134,0.42749,0.36332,0.838,0.89625,0.81183,0.823,0.65205,0.75518,0.49968,0.93367,0.000146075,0.000146075,0.000146075
145,435.862,0.42061,0.35992,0.83377,0.90688,0.80013,0.81905,0.65096,0.75864,0.50165,0.92964,0.0001436,0.0001436,0.0001436
146,438.664,0.44061,0.35906,0.83318,0.91052,0.79183,0.82653,0.65039,0.76208,0.50942,0.92703,0.000141125,0.000141125,0.000141125
147,441.375,0.41729,0.3494,0.83415,0.90774,0.78934,0.82112,0.64905,0.78834,0.5207,0.94409,0.00013865,0.00013865,0.00013865
148,444.168,0.43422,0.35966,0.83329,0.89964,0.79544,0.83689,0.66012,0.79593,0.51862,0.94923,0.000136175,0.000136175,0.000136175
149,446.956,0.44057,0.36441,0.84252,0.90252,0.7968,0.84289,0.6661,0.76939,0.50746,0.94475,0.0001337,0.0001337,0.0001337
150,449.792,0.42117,0.35221,0.83139,0.8926,0.80151,0.84541,0.67022,0.7792,0.50774,0.94222,0.000131225,0.000131225,0.000131225
151,452.576,0.43491,0.36282,0.83754,0.8967,0.79009,0.84133,0.67058,0.77601,0.5159,0.93669,0.00012875,0.00012875,0.00012875
152,455.339,0.41719,0.35347,0.82878,0.88032,0.78307,0.83409,0.65544,0.80828,0.51821,0.93953,0.000126275,0.000126275,0.000126275
153,458.144,0.42823,0.35837,0.83305,0.90407,0.78683,0.83774,0.66363,0.78755,0.49564,0.93438,0.0001238,0.0001238,0.0001238
154,460.9,0.42582,0.35715,0.82927,0.91757,0.79213,0.847,0.67116,0.77181,0.48721,0.93455,0.000121325,0.000121325,0.000121325
155,463.653,0.41403,0.35364,0.82833,0.91885,0.79076,0.85182,0.67252,0.76573,0.47738,0.93349,0.00011885,0.00011885,0.00011885
156,466.4,0.41669,0.34923,0.83643,0.92161,0.78949,0.85468,0.67497,0.76586,0.47979,0.93736,0.000116375,0.000116375,0.000116375
157,469.199,0.40967,0.35483,0.83139,0.87185,0.8246,0.8541,0.66932,0.75155,0.46688,0.93173,0.0001139,0.0001139,0.0001139
158,472.001,0.42349,0.34618,0.82298,0.86098,0.84314,0.85228,0.67022,0.77701,0.46968,0.94275,0.000111425,0.000111425,0.000111425
159,474.815,0.41157,0.36238,0.83314,0.91385,0.79088,0.85255,0.67516,0.76334,0.48665,0.93756,0.00010895,0.00010895,0.00010895
160,477.826,0.41625,0.34981,0.83646,0.85822,0.83322,0.85297,0.6722,0.76839,0.47965,0.93543,0.000106475,0.000106475,0.000106475
161,480.67,0.41526,0.3538,0.82907,0.85937,0.83004,0.8535,0.67595,0.7541,0.49152,0.93395,0.000104,0.000104,0.000104
162,483.414,0.40652,0.34847,0.83014,0.92747,0.78388,0.85261,0.67473,0.77035,0.48602,0.93272,0.000101525,0.000101525,0.000101525
163,486.129,0.40166,0.34339,0.82794,0.93101,0.78289,0.85184,0.67617,0.77251,0.47608,0.93279,9.905e-05,9.905e-05,9.905e-05
164,488.868,0.40176,0.34557,0.82238,0.86554,0.82927,0.8534,0.67849,0.77753,0.48384,0.92892,9.6575e-05,9.6575e-05,9.6575e-05
165,491.589,0.40679,0.33962,0.82764,0.91826,0.78667,0.83594,0.65815,0.77713,0.4808,0.932,9.41e-05,9.41e-05,9.41e-05
166,494.341,0.40098,0.33815,0.82464,0.90784,0.7925,0.85119,0.67071,0.78047,0.49397,0.93761,9.1625e-05,9.1625e-05,9.1625e-05
167,497.156,0.41441,0.35069,0.83025,0.90955,0.79245,0.84482,0.66698,0.78696,0.49692,0.94148,8.915e-05,8.915e-05,8.915e-05
168,499.94,0.40091,0.34102,0.82603,0.91818,0.78796,0.84427,0.66575,0.79248,0.50482,0.9434,8.6675e-05,8.6675e-05,8.6675e-05
169,502.828,0.37965,0.33256,0.82767,0.89839,0.80202,0.84321,0.67158,0.78711,0.50117,0.94203,8.42e-05,8.42e-05,8.42e-05
170,505.694,0.40614,0.34322,0.83443,0.90851,0.8022,0.85115,0.67783,0.76415,0.49108,0.93347,8.1725e-05,8.1725e-05,8.1725e-05
171,508.479,0.39841,0.33836,0.82801,0.92154,0.79539,0.85146,0.68301,0.78174,0.49696,0.93769,7.925e-05,7.925e-05,7.925e-05
172,511.209,0.40716,0.34057,0.82345,0.92411,0.79246,0.8356,0.66967,0.77224,0.49278,0.93684,7.6775e-05,7.6775e-05,7.6775e-05
173,513.898,0.39137,0.33386,0.82489,0.92521,0.79174,0.83699,0.67081,0.76397,0.4844,0.93484,7.43e-05,7.43e-05,7.43e-05
174,516.628,0.39582,0.33856,0.82655,0.92598,0.79241,0.85017,0.68297,0.75291,0.4854,0.92731,7.1825e-05,7.1825e-05,7.1825e-05
175,519.346,0.37354,0.32257,0.82294,0.90463,0.80171,0.8486,0.67514,0.74304,0.48775,0.92387,6.935e-05,6.935e-05,6.935e-05
176,522.108,0.38307,0.33228,0.82473,0.89847,0.80217,0.84822,0.67103,0.75817,0.48787,0.9258,6.6875e-05,6.6875e-05,6.6875e-05
177,524.84,0.39428,0.33377,0.82457,0.90368,0.79463,0.84816,0.67347,0.77196,0.49195,0.92696,6.44e-05,6.44e-05,6.44e-05
178,527.556,0.39551,0.34245,0.82877,0.92026,0.78353,0.84752,0.67231,0.77788,0.49512,0.93106,6.1925e-05,6.1925e-05,6.1925e-05
